   #Clust  Clust1:     Clust2:    Dist. based

    19      16          18              0.778
    19      16          19              0.650
    19      17          18              0.865
    19      17          19              0.906
    19      18          19              0.866

    20       1           2              0.885
    20       1           3              0.691
    20       1           4              0.639
    20       1           5              0.880
    20       1           6              0.646
    20       1           7              0.813
    20       1           8              0.868
    20       1           9              0.832
    20       1          10              0.885
    20       1          11              0.768
    20       1          12              0.613
    20       1          13              0.768
    20       1          14              0.538
    20       1          15              0.695
    20       1          16              0.854
    20       1          17              0.754
    20       1          18              0.808
    20       1          19              0.879
    20       1          20              0.359
    20       2           3              0.890
    20       2           4              0.828
    20       2           5              0.758
    20       2           6              0.830
    20       2           7              0.741
    20       2           8              0.640
    20       2           9              0.925
    20       2          10              0.315
    20       2          11              0.916
    20       2          12              0.901
    20       2          13              0.818
    20       2          14              0.898
    20       2          15              0.866
    20       2          16              0.518
    20       2          17              0.909
    20       2          18              0.849
    20       2          19              0.458
    20       2          20              0.877
    20       3           4              0.805
    20       3           5              0.861
    20       3           6              0.704
    20       3           7              0.808
    20       3           8              0.855
    20       3           9              0.841
    20       3          10              0.879
    20       3          11              0.746
    20       3          12              0.654
    20       3          13              0.704
    20       3          14              0.764
    20       3          15              0.391
    20       3          16              0.852
    20       3          17              0.794
    20       3          18              0.691
    20       3          19              0.892
    20       3          20              0.776
    20       4           5              0.852
    20       4           6              0.532
    20       4           7              0.729
    20       4           8              0.823
    20       4           9              0.881
    20       4          10              0.845
    20       4          11              0.848
    20       4          12              0.801
    20       4          13              0.719
    20       4          14              0.769
    20       4          15              0.744
    20       4          16              0.765
    20       4          17              0.837
    20       4          18              0.799
    20       4          19              0.810
    20       4          20              0.436
    20       5           6              0.830
    20       5           7              0.702
    20       5           8              0.430
    20       5           9              0.920
    20       5          10              0.641
    20       5          11              0.908
    20       5          12              0.895
    20       5          13              0.759
    20       5          14              0.899
    20       5          15              0.838
    20       5          16              0.682
    20       5          17              0.907
    20       5          18              0.777
    20       5          19              0.813
    20       5          20              0.887
    20       6           7              0.632
    20       6           8              0.794
    20       6           9              0.872
    20       6          10              0.836
    20       6          11              0.841
    20       6          12              0.784
    20       6          13              0.398
    20       6          14              0.788
    20       6          15              0.456
    20       6          16              0.730
    20       6          17              0.837
    20       6          18              0.694
    20       6          19              0.833
    20       6          20              0.685
    20       7           8              0.566
    20       7           9              0.909
    20       7          10              0.723
    20       7          11              0.892
    20       7          12              0.866
    20       7          13              0.444
    20       7          14              0.861
    20       7          15              0.741
    20       7          16              0.411
    20       7          17              0.882
    20       7          18              0.662
    20       7          19              0.779
    20       7          20              0.823
    20       8           9              0.919
    20       8          10              0.429
    20       8          11              0.907
    20       8          12              0.890
    20       8          13              0.717
    20       8          14              0.893
